No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_day_volume,total_week_volume,total_month_volume,raydium_pool_count,meteora_pool_count,sum_of_raydium_and_meteora_pool_count,required_raydium_pool_count,required_sum_of_raydium_and_meteora_pool_count,required_total_day_trade_volume,required_minimum_total_tvl
1,So11111111111111111111111111111111111111112-8NCievmJCg2d9Vc2TWgz2HkE6ANeSX7kwvdq5AL7pump,WSOL-BUNKER,WSOL,So11111111111111111111111111111111111111112,BUNKER,8NCievmJCg2d9Vc2TWgz2HkE6ANeSX7kwvdq5AL7pump,84812.31,408.54,15726.11,125115.4,1,2,3,1,2,400,20000
2,So11111111111111111111111111111111111111112-BgpmfuCZxrbvD6wrybrT7ztwtf8vwKW94kc39MAdpump,WSOL-REDnote,WSOL,So11111111111111111111111111111111111111112,REDnote,BgpmfuCZxrbvD6wrybrT7ztwtf8vwKW94kc39MAdpump,22000.92,415.27,3582.64,190133.82,2,4,6,1,2,400,20000
3,So11111111111111111111111111111111111111112-92crE7qiX5T7VtiXhCeagfo1E81UtyguiXM7qCi7pump,WSOL-create,WSOL,So11111111111111111111111111111111111111112,create,92crE7qiX5T7VtiXhCeagfo1E81UtyguiXM7qCi7pump,57521.29,417.33,24058.21,44491.05,2,5,7,1,2,400,20000
4,So11111111111111111111111111111111111111112-CwdjgD54hgTQChspxHhirWLQWqy3EsxtndrcpLBqpump,WSOL-GOBI,WSOL,So11111111111111111111111111111111111111112,GOBI,CwdjgD54hgTQChspxHhirWLQWqy3EsxtndrcpLBqpump,35059.93,426.83,8369.81,26899.06,1,12,13,1,2,400,20000
5,7p6RjGNZ7HLHpfTo6nh21XYw4CZgxXLQPzKXG72pNd2y-So11111111111111111111111111111111111111112,CIGGS-WSOL,CIGGS,7p6RjGNZ7HLHpfTo6nh21XYw4CZgxXLQPzKXG72pNd2y,WSOL,So11111111111111111111111111111111111111112,36912.81,452.02,1620.63,6707.23,1,6,7,1,2,400,20000
6,So11111111111111111111111111111111111111112-5AnPDx9GposBi9jSW2dFfE5QQD3FmXbudoquMNDxpump,WSOL-DOLLAR,WSOL,So11111111111111111111111111111111111111112,DOLLAR,5AnPDx9GposBi9jSW2dFfE5QQD3FmXbudoquMNDxpump,72356.4,476.21,82799.57,122549.46,1,10,11,1,2,400,20000
7,So11111111111111111111111111111111111111112-E5DpUjFJtiyj8qK7eQtLVjiNxB9o2iHmQbMYVn93bfe4,WSOL-PURE,WSOL,So11111111111111111111111111111111111111112,PURE,E5DpUjFJtiyj8qK7eQtLVjiNxB9o2iHmQbMYVn93bfe4,52765.93,476.82,4550.74,31952.42,2,0,2,1,2,400,20000
8,So11111111111111111111111111111111111111112-229vWzBTiUNdraYpVtSH9usTwwVxcyPDbBWf1zEPpump,WSOL-CALVIN,WSOL,So11111111111111111111111111111111111111112,CALVIN,229vWzBTiUNdraYpVtSH9usTwwVxcyPDbBWf1zEPpump,90999.7,486.5,4131.27,39294.12,1,2,3,1,2,400,20000
9,So11111111111111111111111111111111111111112-8WnQQRbuEZ3CCDbH5MCVioBbw6o75NKANq9WdPhBDsWo,WSOL-coby,WSOL,So11111111111111111111111111111111111111112,coby,8WnQQRbuEZ3CCDbH5MCVioBbw6o75NKANq9WdPhBDsWo,120051.95,512.01,46989.37,254869.85,2,12,14,1,2,400,20000
10,So11111111111111111111111111111111111111112-HmfNGq7kxE6ppMDGW87xPuMU6wnKbeYBZf76K7t33w3s,WSOL-KOHLER,WSOL,So11111111111111111111111111111111111111112,KOHLER,HmfNGq7kxE6ppMDGW87xPuMU6wnKbeYBZf76K7t33w3s,49187.09,513.97,5307.05,17626.27,1,1,2,1,2,400,20000
11,So11111111111111111111111111111111111111112-M5MFPbS4X6eYek21xhFU38DTavMLuGY9eyC5p8Tpump,WSOL-ZACHXBT,WSOL,So11111111111111111111111111111111111111112,ZACHXBT,M5MFPbS4X6eYek21xhFU38DTavMLuGY9eyC5p8Tpump,78435.42,522.53,1909.48,29928.85,2,0,2,1,2,400,20000
